2002	3	14	7	2.7
2002	5	2	11	5.1
2002	6	6	8	2.8
2002	7	8	5	3.7
2002	8	12	8	2.7
2002	9	10	8	2.4
2003	3	13	8	3
2003	4	12	9	3.8
2003	5	15	13	9.7
2003	6	12	5	2.6
2003	7	24	6	2.6
2003	8	20	15	2.6
2004	3	13	9	1.6
2004	5	15	11	11
2004	7	24	8	3.5
2004	8	20	6	1.8
2004	9	18	8	3.8
